"TF" "target" "importance"
"485083" "Creb1" "Kpna1" 1.22988899112256
"486147" "Creb1" "Epc1" 1.22688995893055
"487120" "Creb1" "Snord22" 1.22409883762923
"488617" "Creb1" "Fam120a" 1.2197785065449
"490748" "Creb1" "Car6" 1.21354088518915
"491108" "Creb1" "Ppfia4" 1.21248951572682
"491993" "Creb1" "Gm26718" 1.20994652731888
"496375" "Creb1" "Scd1" 1.19746676909309
"497740" "Creb1" "Trim9" 1.19390644859721
"499650" "Creb1" "Prkcg" 1.18852673290067
"501885" "Creb1" "Pde1a" 1.18214196949929
"502288" "Creb1" "Aak1" 1.18102983020198
"503018" "Creb1" "Plb1" 1.1791000348191
"508612" "Creb1" "Aatk" 1.16378655575593
"510100" "Creb1" "Dstn" 1.15980448630792
"510704" "Creb1" "Gpr149" 1.15827707612281
"512731" "Creb1" "Gpr165" 1.15286353842105
"514384" "Creb1" "Kdm5b" 1.14868758006014
"516786" "Creb1" "Cnih3" 1.14248761337059
"517726" "Creb1" "Abhd11os" 1.14009855128885
"526136" "Creb1" "Acsl4" 1.11848449364074
"526175" "Creb1" "Med12l" 1.1184034709737
"527347" "Creb1" "Mycl" 1.11545664335552
"528185" "Creb1" "Gm13544" 1.11331441550815
"528191" "Creb1" "Scn1a" 1.11329450407193
"529912" "Creb1" "Rgcc" 1.10930147984243
"531045" "Creb1" "Fam210b" 1.10647689982114
"531755" "Creb1" "Chl1" 1.1046944388149
"533389" "Creb1" "Fam122b" 1.10074824334789
"534035" "Creb1" "Gm36981" 1.09918649479978
"534203" "Creb1" "Disp2" 1.09875510379966
"534300" "Creb1" "Ccdc177" 1.09849611472207
"536066" "Creb1" "Atrn" 1.09436024556882
"536740" "Creb1" "mt.Nd6" 1.09266806196139
"537778" "Creb1" "Ube2q2" 1.09011362848598
"541669" "Creb1" "Gpr150" 1.08105549241644
"541888" "Creb1" "Shisa8" 1.08054660794683
"542400" "Creb1" "X5730409E04Rik" 1.07943393795393
"542733" "Creb1" "Tspan14" 1.07872891567934
"543239" "Creb1" "RP23.8L20.6" 1.07754407414471
"543701" "Creb1" "Pak6" 1.07641317452998
"544271" "Creb1" "Avp" 1.07509677049267
"545611" "Creb1" "Zfp593" 1.07203288055303
"547310" "Creb1" "Dio3" 1.06806966213424
"547803" "Creb1" "Cep164" 1.06690955775194
"548309" "Creb1" "Chic2" 1.06578502228732
"548506" "Creb1" "Gm28707" 1.06530170107193
"548771" "Creb1" "Clp1" 1.06469169150932
"550827" "Creb1" "Acer2" 1.05996437908903
"551242" "Creb1" "Rab39" 1.05900418337
"554480" "Creb1" "Kcnc2" 1.05181739822403
"555219" "Creb1" "Suox" 1.05003187846171
"555672" "Creb1" "Kdm4a" 1.04907704909571
"555776" "Creb1" "Gpr155" 1.04880970879798
"556679" "Creb1" "Mxd1" 1.04686586122642
"559982" "Creb1" "C130046K22Rik" 1.03962155843418
"560951" "Creb1" "Ccdc166" 1.03744455828558
"562491" "Creb1" "Gm38377" 1.03413061948948
"563862" "Creb1" "Armt1" 1.03116496197848
"564252" "Creb1" "Itpkb" 1.03035719377596
"564721" "Creb1" "Prok2" 1.02926837618332
"566269" "Creb1" "Trbc2" 1.0259286767185
"568365" "Creb1" "Rp2h" 1.02144257920051
"569074" "Creb1" "Ubr3" 1.01989236044247
"569346" "Creb1" "Gm16315" 1.01931896041185
"574396" "Creb1" "Ankrd2" 1.00885314348544
